raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,millis,statusId,lap,Time
British Grand Prix,max_verstappen,red_bull,33,2,1,1,3,17,0,1538426,Finished,14,1:30.013
British Grand Prix,hamilton,mercedes,44,1,2,2,2,17,0,1539856,Finished,17,1:29.937
British Grand Prix,bottas,mercedes,77,3,3,3,1,17,0,1545928,Finished,17,1:29.958
British Grand Prix,leclerc,ferrari,16,4,4,4,0,17,0,1549704,Finished,16,1:30.163
British Grand Prix,norris,mclaren,4,6,5,5,0,17,0,1562537,Finished,16,1:30.566
British Grand Prix,ricciardo,mclaren,3,7,6,6,0,17,0,1569385,Finished,17,1:30.640
British Grand Prix,alonso,alpine,14,11,7,7,0,17,0,1581953,Finished,17,1:31.773
British Grand Prix,vettel,aston_martin,5,10,8,8,0,17,0,1582865,Finished,17,1:31.687
British Grand Prix,russell,williams,63,8,9,9,0,17,0,1585078,Finished,17,1:32.208
British Grand Prix,ocon,alpine,31,13,10,10,0,17,0,1585821,Finished,16,1:32.183
British Grand Prix,sainz,ferrari,55,9,11,11,0,17,0,1586224,Finished,10,1:31.991
British Grand Prix,gasly,alphatauri,10,12,12,12,0,17,0,1587189,Finished,17,1:32.072
British Grand Prix,raikkonen,alfa,7,17,13,13,0,17,0,1589103,Finished,12,1:32.139
British Grand Prix,stroll,aston_martin,18,15,14,14,0,17,0,1590605,Finished,12,1:32.210
British Grand Prix,giovinazzi,alfa,99,14,15,15,0,17,0,1591651,Finished,14,1:32.457
British Grand Prix,tsunoda,alphatauri,22,16,16,16,0,17,0,1591993,Finished,14,1:32.270
British Grand Prix,latifi,williams,6,18,17,17,0,17,0,1593588,Finished,17,1:32.143
British Grand Prix,mick_schumacher,haas,47,19,18,18,0,17,0,1606639,Finished,15,1:32.567
British Grand Prix,mazepin,haas,9,20,19,19,0,17,0,1616074,Finished,3,1:33.462
British Grand Prix,perez,red_bull,11,5,20,R,0,16,0,,Vibrations,6,1:31.465
