circuit,Name,Piloto con mas victorias ,Driver Id ,Equipo con mas victorias,Año de apertura 
albert_park,Albert Park Grand Prix Circuit,Sebastian Vettel,vettel,Mercedes,1953
americas,Circuit of the Americas,Lewis Hamilton,hamilton,Mercedes,2012
bahrain ,Bahrain International Circuit,Lewis Hamilton,hamilton,Mercedes,2004
baku,Baku City Circuit,,,Red Bull,2017
buddh,Buddh International Circuit,Sebastian Vettel,vettel,Red Bull,2011
catalunya,Circuit de Barcelona-Catalunya,Lewis Hamilton,hamilton,Mercedes,1991
hockenheimring,Hockenheimring,Lewis Hamilton,hamilton,Mercedes,1932
hungaroring,Hungaroring,Lewis Hamilton,hamilton,Mercedes,1986
imola,Autodromo Enzo e Dino Ferrari,Lewis Hamilton,hamilton,Mercedes,1953
interlagos,Autodromo Jose Carlos Pace,Lewis Hamilton ,hamilton,Mercedes,1940
istanbul,Istanbul Park,Lewis Hamilton,hamilton,Mercedes,2005
jeddah,Jeddah Corniche Circuit,Sergio Perez,perez,Red Bull,2021
losail,Losail International Circuit,Lewis Hamilton,hamilton,Mercedes,2004
marina_bay,Marina Bay Street Circuit,Sebastian Vettel,vettel,Red Bull,2008
miami,Miami International Autodrome,,,,2022
monaco ,Circuit de Monaco,Lewis Hamilton ,hamilton,Red Bull,1929
monza,Autodromo Nazionale di Monza,Lewis Hamilton ,hamilton,Mercedes,1922
mugello,Autodromo Internazionale del Mugello,Lewis Hamilton ,hamilton,Mercedes,1974
nurburgring,Nurburgring,Sebastian Vettel,vettel,Red Bull,1927
portimao,Autodromo Internacional do Algarve,Lewis Hamilton,hamilton,Mercedes,2008
red_bull_ring,Red Bull Ring,Max Verstappen,max_verstappen,Mercedes,1969
ricard,Circuit Paul Ricard,Max Verstappen,max_verstappen,Red Bull,1970
rodriguez,Autodromo Hermanos Rodriguez,Max Verstappen,max_verstappen,Red Bull,1959
sepang,Sepang International Circuit,Sebastian Vettel,vettel,Red Bull,1999
shanghai,Shanghai International Circuit,Lewis Hamilton ,hamilton,Mercedes,2004
silverstone,Silverstone Circuit,Lewis Hamilton ,hamilton,Mercedes,1947
sochi,Sochi Autodrom,Lewis Hamilton ,hamilton,Mercedes,2014
spa,Circuit de Spa-Francorchamps,Lewis Hamilton ,hamilton,Red Bull,1920
suzuka,Suzuka Circuit,Lewis Hamilton ,hamilton,Mercedes,1962
valencia,Valencia Street Circuit,,,,2008
vegas,Las Vegas Strip Street Circuit,,,,2023
villeneuve,Circuit Gilles Villeneuve,Lewis Hamilton ,hamilton,Mercedes,1978
yas_marina,Yas Marina Circuit,Lewis Hamilton,hamilton,Red Bull,2009
yeongam,Korean International Circuit,Sebastian Vettel,vettel,Red Bull,2010
zandvoort,Circuit Park Zandvoort,Max Verstappen,max_verstappen,Red Bull,1948
