year,circuitId,name,location,country,lat,lng,alt,url,# Vueltas,Tiempo promedio,Vuelta mas rapida,Piloto con mas triunfos,Escuderia 
2010,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,Melbourne,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,58,00:01:37,01:20.3,,
2010,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,Sakhir,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,57,00:01:45,01:32.0,,
2010,catalunya,Circuit de Barcelona-Catalunya,Montmel贸,Spain,41.57,2.26111,Montmel贸,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,66,00:01:31,01:18.1,,
2010,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring,67,00:01:29,01:15.5,,
2010,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,Budapest,http://en.wikipedia.org/wiki/Hungaroring,70,00:01:30,01:16.6,,
2010,interlagos,Autodromo Jose Carlos Pace,S鉶 Paulo,Brazil,-23.7036,-46.6997,S茫o Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,71,00:01:27,01:10.5,,
2010,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,Istanbul,http://en.wikipedia.org/wiki/Istanbul_Park,58,00:01:38,01:29.2,,
2010,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,Marina Bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,61,00:02:00,01:41.9,,
2010,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco,78,00:01:29,01:12.9,,
2010,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,53,00:01:33,01:21.8,,
2010,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,Kuala Lumpur,http://en.wikipedia.org/wiki/Sepang_International_Circuit,56,00:01:57,01:34.1,,
2010,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,Shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,56,00:01:46,01:34.7,,
2010,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,52,00:01:49,01:07.4,,
2010,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,44,00:02:01,01:46.3,,
2010,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,Suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,53,00:01:48,01:31.0,,
2010,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,Valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,57,00:01:49,01:38.8,,
2010,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,70,00:01:24,01:13.1,,
2010,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,Abu Dhabi,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,58,00:01:47,01:26.1,,
2010,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,Yeongam County,http://en.wikipedia.org/wiki/Korean_International_Circuit,55,00:02:11,01:39.6,,
2011,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,Melbourne,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,58,00:01:37,01:20.3,,
2011,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,Uttar Pradesh,http://en.wikipedia.org/wiki/Buddh_International_Circuit,60,00:01:33,01:27.2,,
2011,catalunya,Circuit de Barcelona-Catalunya,Montmel贸,Spain,41.57,2.26111,Montmel贸,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,66,00:01:31,01:18.1,,
2011,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,Budapest,http://en.wikipedia.org/wiki/Hungaroring,70,00:01:30,01:16.6,,
2011,interlagos,Autodromo Jose Carlos Pace,S鉶 Paulo,Brazil,-23.7036,-46.6997,S茫o Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,71,00:01:27,01:10.5,,
2011,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,Istanbul,http://en.wikipedia.org/wiki/Istanbul_Park,58,00:01:38,01:29.2,,
2011,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,Marina Bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,61,00:02:00,01:41.9,,
2011,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco,78,00:01:29,01:12.9,,
2011,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,53,00:01:33,01:21.8,,
2011,nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475,N眉rburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring,60,00:01:36,01:28.1,,
2011,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,Kuala Lumpur,http://en.wikipedia.org/wiki/Sepang_International_Circuit,56,00:01:57,01:34.1,,
2011,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,Shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,56,00:01:46,01:34.7,,
2011,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,52,00:01:49,01:07.4,,
2011,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,44,00:02:01,01:46.3,,
2011,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,Suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,53,00:01:48,01:31.0,,
2011,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,Valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,57,00:01:49,01:38.8,,
2011,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,70,00:01:24,01:13.1,,
2011,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,Abu Dhabi,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,58,00:01:47,01:26.1,,
2011,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,Yeongam County,http://en.wikipedia.org/wiki/Korean_International_Circuit,55,00:02:11,01:39.6,,
2012,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,Melbourne,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,58,00:01:37,01:20.3,,
2012,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,Austin,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,56,00:01:47,01:38.5,,
2012,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,Sakhir,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,57,00:01:45,01:32.0,,
2012,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,Uttar Pradesh,http://en.wikipedia.org/wiki/Buddh_International_Circuit,60,00:01:33,01:27.2,,
2012,catalunya,Circuit de Barcelona-Catalunya,Montmel贸,Spain,41.57,2.26111,Montmel贸,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,66,00:01:31,01:18.1,,
2012,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring,67,00:01:29,01:15.5,,
2012,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,Budapest,http://en.wikipedia.org/wiki/Hungaroring,70,00:01:30,01:16.6,,
2012,interlagos,Autodromo Jose Carlos Pace,S鉶 Paulo,Brazil,-23.7036,-46.6997,S茫o Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,71,00:01:27,01:10.5,,
2012,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,Marina Bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,61,00:02:00,01:41.9,,
2012,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco,78,00:01:29,01:12.9,,
2012,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,53,00:01:33,01:21.8,,
2012,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,Kuala Lumpur,http://en.wikipedia.org/wiki/Sepang_International_Circuit,56,00:01:57,01:34.1,,
2012,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,Shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,56,00:01:46,01:34.7,,
2012,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,52,00:01:49,01:07.4,,
2012,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,44,00:02:01,01:46.3,,
2012,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,Suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,53,00:01:48,01:31.0,,
2012,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,Valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,57,00:01:49,01:38.8,,
2012,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,70,00:01:24,01:13.1,,
2012,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,Abu Dhabi,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,58,00:01:47,01:26.1,,
2012,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,Yeongam County,http://en.wikipedia.org/wiki/Korean_International_Circuit,55,00:02:11,01:39.6,,
2013,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,Melbourne,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,58,00:01:37,01:20.3,,
2013,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,Austin,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,56,00:01:47,01:38.5,,
2013,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,Sakhir,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,57,00:01:45,01:32.0,,
2013,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,Uttar Pradesh,http://en.wikipedia.org/wiki/Buddh_International_Circuit,60,00:01:33,01:27.2,,
2013,catalunya,Circuit de Barcelona-Catalunya,Montmel贸,Spain,41.57,2.26111,Montmel贸,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,66,00:01:31,01:18.1,,
2013,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,Budapest,http://en.wikipedia.org/wiki/Hungaroring,70,00:01:30,01:16.6,,
2013,interlagos,Autodromo Jose Carlos Pace,S鉶 Paulo,Brazil,-23.7036,-46.6997,S茫o Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,71,00:01:27,01:10.5,,
2013,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,Marina Bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,61,00:02:00,01:41.9,,
